index,student,state,district_num,formatted_dist_num,abbrev,district,candidate,party,website,twitter_handle,incumbent,age,gender,marital_status,white_non_hispanic,hispanic,black,partisian_lean_pvi,opposed,pct_urban,income,region
789,thomas,New Jersey,9,9,NJ,NJ09,Eric Fisher,Republican,,,F,,M,,T,F,F,D+16,T,100,52437.0,NE
790,thomas,New Jersey,9,9,NJ,NJ09,Bill Pascrell,Democratic,http://billpascrell.com/,BillPascrell,T,81.0,M,Married,T,F,F,D+16,T,100,52437.0,NE
791,thomas,New Jersey,11,11,NJ,NJ11,Mikie Sherrill,Democratic,https://mikiesherrill.com/,MikieSherrill,F,46.0,F,Married,T,F,F,R+3,T,93.49,79009.0,NE
792,thomas,New Jersey,11,11,NJ,NJ11,Jay Webber,Republican,https://www.webberforcongress.com/splash_wfc?splash=1,JayWebberNJ,F,46.0,M,Married,T,F,F,R+3,T,93.49,79009.0,NE
793,thomas,New York,8,8,NY,NY08,Hakeem Jeffries,Democratic,http://hakeemjeffries.com/,RepJeffries,T,48.0,M,,F,F,T,D+36,T,,,NE
794,thomas,New York,8,8,NY,NY08,Ernest Johnson,Conservative,,,F,,M,,F,F,F,D+36,T,,,NE
795,thomas,New York,8,8,NY,NY08,Jessica White,Reform,,,F,,F,,F,F,F,D+36,T,,,NE
796,thomas,New York,10,10,NY,NY10,Naomi Levin,Republican,https://naomiforcongress.com/,NaomiLevinNY,F,,F,,T,F,F,D+26,T,,70270.0,NE
797,thomas,New York,10,10,NY,NY10,Jerry Nadler,Democratic,http://www.jerrynadler.com/,RepJerryNadler,T,71.0,M,Married,T,F,F,D+26,T,,70270.0,NE
798,thomas,New York,18,18,NY,NY18,Sean Patrick Maloney,Democratic,http://seanmaloney.com/,RepSeanMaloney,T,52.0,M,Married,T,F,F,R+1,T,,71399.0,NE
799,thomas,New York,18,18,NY,NY18,James O'Donnell,Republican,https://www.voteodonnell.com/,JamesODonnellNY,F,,M,Married,T,F,F,R+1,T,,71399.0,NE
800,thomas,North Carolina,12,12,NC,NC12,Alma Adams,Democratic,http://almaadamsforcongress.com/,RepAdams,T,72.0,F,,F,F,T,D+18,T,98.93,35775.0,S
801,thomas,North Carolina,12,12,NC,NC12,Paul Wright,Republican,http://wrightforuscongress.com/,,F,,M,Married,T,F,F,D+18,T,98.93,35775.0,S
802,thomas,Ohio,12,12,OH,OH12,Troy Balderson,Republican,https://baldersonforcongress.com/,Troy_Balderson,T,56.0,M,,T,F,F,R+7,T,,63046.0,MW
803,thomas,Ohio,12,12,OH,OH12,Joseph Mancik,Green,,Joe_Manchik,F,,M,,T,F,F,R+7,T,,63046.0,MW
804,thomas,Ohio,12,12,OH,OH12,Danny O'Connor,Democratic,https://dannyoconnorforcongress.com/,dannyoconnor1,F,31.0,M,,T,F,f,R+7,T,,63046.0,MW
805,thomas,Ohio,13,13,OH,OH13,Chris DePizzo,Republican,https://depizzoforcongress.com/,chrisdepizzo,F,,M,Married,T,F,F,D+7,T,,40429.0,MW
806,thomas,Ohio,13,13,OH,OH13,Tim Ryan,Democratic,https://timryanforcongress.com/,RepTimRyan,T,45.0,M,Married,T,F,F,D+7,T,,40429.0,MW
